nb_collaborations,annee,periode
1,1938,Before
2,1940,Before
1,1942,Before
2,1945,Before
5,1946,Before
2,1947,Before
6,1948,Before
22,1949,Before
2,1950,Before
15,1951,Before
57,1952,Before
42,1953,Before
93,1954,Before
64,1955,Before
146,1956,Before
273,1957,Before
213,1958,Before
459,1959,Before
404,1960,Before
414,1961,Before
589,1962,Before
725,1963,Before
681,1964,Before
680,1965,Before
860,1966,Before
886,1967,Before
1238,1968,Before
1191,1969,Before
1292,1970,Before
2582,1971,Before
2571,1972,Before
2911,1973,Before
4382,1974,Before
3875,1975,Before
5359,1976,Before
5011,1977,Before
6097,1978,Before
6747,1979,Before
7549,1980,Before
9107,1981,Before
10651,1982,Before
12185,1983,Before
13836,1984,Before
16387,1985,Before
21607,1986,Before
23793,1987,Before
34462,1988,Before
39979,1989,Before
45340,1990,Before
53077,1991,Before
62413,1992,Before
79559,1993,Before
94528,1994,Before
105082,1995,Before
119316,1996,Before
139070,1997,Before
174734,1998,Before
195788,1999,Before
227479,2000,Before
261777,2001,Before
321410,2002,Before
413721,2003,Before
491528,2004,Before
590358,2005,Before
705716,2006,Before
761186,2007,Before
840349,2008,Before
949575,2009,Before
1028117,2010,Before
1168842,2011,Before
1304243,2012,Before
1496355,2013,Before
1640749,2014,Before
1788142,2015,Before
1903569,2016,Before
2188029,2017,3 yrs Before
2691229,2018,3 yrs Before
3260957,2019,3 yrs Before
3716605,2020,During
4049833,2021,During
4682775,2022,During
5330146,2023,After
5437116,2024,After
109335,2025,After
