period,year,category,nb_publications
Before,1936,article,12
Before,1937,article,16
Before,1938,article,10
Before,1938,phdthesis,1
Before,1939,article,18
Before,1940,article,10
Before,1941,article,13
Before,1942,article,13
Before,1943,article,8
Before,1944,article,5
Before,1945,article,9
Before,1946,article,31
Before,1947,article,10
Before,1948,article,40
Before,1948,phdthesis,1
Before,1949,article,50
Before,1949,book,2
Before,1950,article,25
Before,1950,phdthesis,2
Before,1950,book,2
Before,1951,inproceedings,19
Before,1951,article,19
Before,1951,phdthesis,5
Before,1951,proceedings,1
Before,1951,book,1
Before,1952,inproceedings,74
Before,1952,article,34
Before,1952,phdthesis,3
Before,1952,proceedings,2
Before,1953,article,110
Before,1953,inproceedings,55
Before,1953,phdthesis,4
Before,1953,proceedings,2
Before,1953,book,1
Before,1954,article,158
Before,1954,inproceedings,44
Before,1954,phdthesis,12
Before,1954,proceedings,2
Before,1954,data,1
Before,1954,book,1
Before,1955,article,149
Before,1955,inproceedings,44
Before,1955,phdthesis,8
Before,1955,proceedings,2
Before,1955,book,2
Before,1956,article,206
Before,1956,inproceedings,118
Before,1956,phdthesis,11
Before,1956,book,3
Before,1956,proceedings,1
Before,1957,article,241
Before,1957,inproceedings,87
Before,1957,phdthesis,5
Before,1957,proceedings,2
Before,1957,book,2
Before,1958,article,299
Before,1958,inproceedings,138
Before,1958,phdthesis,10
Before,1958,proceedings,4
Before,1958,book,2
Before,1959,article,444
Before,1959,inproceedings,253
Before,1959,phdthesis,12
Before,1959,proceedings,3
Before,1959,book,1
Before,1960,article,510
Before,1960,inproceedings,75
Before,1960,phdthesis,26
Before,1960,book,3
Before,1960,proceedings,2
Before,1961,article,674
Before,1961,inproceedings,194
Before,1961,phdthesis,21
Before,1961,proceedings,3
Before,1961,book,1
Before,1962,article,853
Before,1962,inproceedings,281
Before,1962,phdthesis,28
Before,1962,proceedings,3
Before,1962,book,2
Before,1963,article,887
Before,1963,inproceedings,106
Before,1963,phdthesis,29
Before,1963,book,5
Before,1963,proceedings,2
Before,1964,article,839
Before,1964,inproceedings,213
Before,1964,phdthesis,37
Before,1964,proceedings,3
Before,1964,book,1
Before,1965,article,976
Before,1965,inproceedings,253
Before,1965,phdthesis,47
Before,1965,proceedings,4
Before,1965,book,1
Before,1966,article,1175
Before,1966,inproceedings,247
Before,1966,phdthesis,60
Before,1966,proceedings,2
Before,1967,article,1268
Before,1967,inproceedings,414
Before,1967,phdthesis,46
Before,1967,book,6
Before,1967,proceedings,3
Before,1968,article,1449
Before,1968,inproceedings,646
Before,1968,phdthesis,59
Before,1968,incollection,5
Before,1968,book,5
Before,1968,proceedings,4
Before,1969,article,1446
Before,1969,inproceedings,546
Before,1969,phdthesis,69
Before,1969,book,14
Before,1969,proceedings,8
Before,1970,article,1680
Before,1970,inproceedings,405
Before,1970,phdthesis,116
Before,1970,proceedings,8
Before,1970,book,5
Before,1971,article,1980
Before,1971,inproceedings,919
Before,1971,phdthesis,157
Before,1971,book,16
Before,1971,proceedings,14
Before,1971,incollection,14
Before,1972,article,2614
Before,1972,inproceedings,897
Before,1972,phdthesis,164
Before,1972,incollection,28
Before,1972,proceedings,18
Before,1972,book,12
Before,1973,article,2798
Before,1973,inproceedings,1324
Before,1973,phdthesis,195
Before,1973,proceedings,27
Before,1973,book,16
Before,1974,article,3098
Before,1974,inproceedings,1636
Before,1974,phdthesis,190
Before,1974,proceedings,30
Before,1974,book,13
Before,1974,incollection,7
Before,1975,article,3298
Before,1975,inproceedings,1633
Before,1975,phdthesis,227
Before,1975,proceedings,33
Before,1975,book,20
Before,1976,article,3371
Before,1976,inproceedings,1980
Before,1976,phdthesis,246
Before,1976,proceedings,41
Before,1976,book,23
Before,1977,article,3707
Before,1977,inproceedings,1928
Before,1977,phdthesis,210
Before,1977,proceedings,44
Before,1977,book,25
Before,1978,article,3905
Before,1978,inproceedings,2508
Before,1978,phdthesis,264
Before,1978,proceedings,37
Before,1978,book,24
Before,1979,article,4053
Before,1979,inproceedings,2497
Before,1979,phdthesis,267
Before,1979,proceedings,46
Before,1979,book,24
Before,1980,article,4599
Before,1980,inproceedings,2671
Before,1980,phdthesis,363
Before,1980,proceedings,48
Before,1980,book,29
Before,1980,incollection,23
Before,1981,article,4687
Before,1981,inproceedings,3166
Before,1981,phdthesis,635
Before,1981,proceedings,62
Before,1981,book,51
Before,1982,article,5224
Before,1982,inproceedings,3767
Before,1982,phdthesis,723
Before,1982,proceedings,67
Before,1982,book,49
Before,1982,incollection,42
Before,1982,mastersthesis,1
Before,1983,article,5877
Before,1983,inproceedings,4028
Before,1983,phdthesis,732
Before,1983,proceedings,85
Before,1983,book,59
Before,1983,incollection,11
Before,1984,article,6400
Before,1984,inproceedings,4746
Before,1984,phdthesis,909
Before,1984,proceedings,72
Before,1984,book,68
Before,1984,incollection,65
Before,1984,mastersthesis,1
Before,1985,article,7427
Before,1985,inproceedings,5263
Before,1985,phdthesis,912
Before,1985,proceedings,91
Before,1985,book,88
Before,1985,incollection,61
Before,1986,article,8086
Before,1986,inproceedings,7272
Before,1986,phdthesis,750
Before,1986,book,142
Before,1986,proceedings,100
Before,1986,incollection,70
Before,1986,data,2
Before,1987,article,8900
Before,1987,inproceedings,7432
Before,1987,phdthesis,957
Before,1987,book,159
Before,1987,proceedings,119
Before,1987,incollection,44
Before,1987,data,3
Before,1987,mastersthesis,1
Before,1988,article,10353
Before,1988,inproceedings,10005
Before,1988,phdthesis,1017
Before,1988,book,184
Before,1988,proceedings,148
Before,1988,incollection,69
Before,1988,data,12
Before,1989,article,11362
Before,1989,inproceedings,11110
Before,1989,phdthesis,1313
Before,1989,book,274
Before,1989,proceedings,163
Before,1989,incollection,114
Before,1989,data,4
Before,1990,inproceedings,13885
Before,1990,article,12435
Before,1990,phdthesis,1267
Before,1990,book,364
Before,1990,proceedings,201
Before,1990,incollection,123
Before,1990,data,9
